,City,Country,Date,Visibility,Lon,Lat,Main Temp,Temp Feels Like,Temp Min,Temp Max,Pressure,Humidity,Wind Speed,Wind Degree,Cloudiness
237,Krasnoborsk,RU,1653189216,10000,45.934,61.5598,32.36,24.42,32.36,32.36,1008,82,9.53,1,100
238,Krasnoyarsk,RU,1653189216,10000,92.7917,56.0097,64.8,62.71,64.8,68.65,1009,37,0.81,217,37
239,Kruisfontein,ZA,1653189216,10000,24.7314,-34.0033,47.88,46.94,47.88,47.88,1024,88,3.36,315,2
240,Kuandian,CN,1653189217,10000,124.7847,40.7286,75.6,75.2,75.6,75.6,1006,50,5.06,63,24
241,Kununurra,AU,1653189095,10000,128.7333,-15.7667,87.78,84.79,87.78,87.78,1013,25,10.36,110,7
242,Kuril'sk,RU,1653189217,10000,147.8833,45.2333,57.02,55.67,57.02,57.02,1013,69,14.12,167,34
243,Kushiro,JP,1653189217,10000,144.3747,42.975,58.08,57.54,58.08,58.08,1011,84,7.11,143,88
244,La Palma,US,1653189218,10000,-118.0467,33.8464,63.34,62.89,59.9,66.81,1015,75,8.05,190,75
245,Labuhan,ID,1653189218,10000,112.2051,-6.8844,85.39,93.2,85.39,85.39,1009,69,12.06,99,64
246,Laela,TZ,1653189218,10000,32.05,-8.5667,62.11,61.56,62.11,62.11,1016,75,1.28,307,95
247,Lagoa,PT,1653189218,10000,-27.9833,39.05,62.06,62.44,62.06,62.06,1023,95,2.46,15,100
248,Muhafazat Lahij,YE,1653189219,10000,44.5833,13.1667,85.15,82.49,85.15,85.15,1007,25,0.54,247,69
249,Lakhnādon,IN,1653189219,10000,79.6,22.6,87.15,87.06,87.15,87.15,1000,41,21.23,290,0
250,Lander,US,1653189219,10000,-108.7307,42.833,43.41,36.55,42.12,43.61,1024,54,13.8,320,75
251,Lavrentiya,RU,1653189219,10000,-171.0,65.5833,37.99,31.08,37.99,37.99,1021,90,10.16,18,98
252,Lebu,CL,1653189220,10000,-73.65,-37.6167,51.69,50.85,51.69,51.69,1020,91,12.77,21,95
253,Lemgo,DE,1653189220,10000,8.9,52.0333,45.27,45.27,44.06,49.14,1017,94,2.01,195,97
254,Leningradskiy,RU,1653189220,10000,178.4167,69.3833,34.25,25.9,34.25,34.25,1023,96,11.34,114,100
255,León,MX,1653188943,10000,-101.6667,21.1167,78.85,78.85,78.85,78.85,1012,16,7.7,316,9
256,Leer,SS,1653189221,10000,30.1418,8.3018,75.09,76.35,75.09,75.09,1011,86,3.91,322,100
257,Lianran,CN,1653189221,10000,102.485,24.9227,61.12,61.39,61.12,61.12,1005,95,2.84,99,100
258,Liku,ID,1653189221,10000,119.8922,-0.7275,81.9,87.82,81.9,81.9,1011,77,0.87,321,97
259,Lima,PE,1653188926,10000,-77.0282,-12.0432,63.9,63.79,59.25,63.9,991,81,2.3,0,40
260,Limpapa,PH,1653189223,10000,121.9106,7.1197,81.37,85.66,81.37,81.37,1009,72,4.56,155,99
261,Linguère,SN,1653189223,10000,-15.1193,15.3953,71.51,71.6,71.51,71.51,1012,69,10.31,286,79
262,Lipin Bor,RU,1653189223,10000,37.9763,60.2622,30.7,22.6,30.7,30.7,1013,65,9.13,22,7
263,Lompoc,US,1653189223,10000,-120.4579,34.6391,55.17,54.14,53.49,62.02,1015,80,8.05,280,0
264,Longyearbyen,SJ,1653189224,10000,15.6401,78.2186,35.44,29.7,35.44,35.44,1013,75,6.91,170,75
265,Lorengau,PG,1653189224,10000,147.2712,-2.0226,85.93,93.63,85.93,85.93,1008,67,9.95,81,95
266,Los Llanos de Aridane,ES,1653189224,10000,-17.9182,28.6585,60.12,59.72,60.12,65.95,1018,83,14.97,20,100
267,Luanda,AO,1653189225,10000,13.2343,-8.8368,70.34,71.31,70.34,70.34,1013,90,7.87,155,68
268,Lubango,AO,1653189225,10000,13.4925,-14.9172,52.59,48.92,52.59,52.59,1017,29,1.86,142,35
269,Lüderitz,NA,1653189225,10000,15.1594,-26.6481,55.49,53.6,55.49,55.49,1020,61,10.38,148,7
270,Luján,AR,1653189225,10000,-59.105,-34.5703,51.19,48.54,46.26,53.94,1021,54,0.83,187,2
271,Luwuk,ID,1653189226,10000,122.7875,-0.9516,85.59,92.48,85.59,85.59,1010,66,5.06,202,33
272,Lyngseidet,NO,1653189226,9038,20.2189,69.5763,42.8,41.34,42.8,42.8,1012,94,3.18,174,98
273,Maceió,BR,1653189181,10000,-35.7353,-9.6658,74.64,76.23,74.64,74.64,1018,94,2.3,190,75
274,Mackay,AU,1653189226,10000,149.2,-21.15,75.69,76.62,75.69,75.69,1014,78,16.87,162,99
275,Macusani,PE,1653189226,10000,-70.4333,-14.0833,32.97,32.97,32.97,32.97,1024,92,2.75,332,46
276,Madukkūr,IN,1653189227,10000,79.4,10.4833,86.95,90.7,86.95,86.95,1006,54,7.14,261,62
277,Mahanoro,MG,1653189227,10000,48.8,-19.9,65.95,66.38,65.95,65.95,1020,88,5.64,237,19
278,Mahébourg,MU,1653189227,10000,57.7,-20.4081,70.25,70.54,70.25,70.25,1019,76,12.12,112,13
279,Mahibadhoo,MV,1653189228,10000,72.9667,3.7833,82.9,90.16,82.9,82.9,1010,77,12.62,271,89
280,Majene,ID,1653189228,10000,118.9707,-3.5403,84.47,90.82,84.47,84.47,1009,68,8.97,119,73
281,Makakilo City,US,1653189228,10000,-158.0858,21.3469,82.45,84.13,76.98,84.52,1017,55,16.11,90,100
282,Malakal,SS,1653189228,10000,31.6605,9.5334,76.12,76.77,76.12,76.12,1011,71,4.94,256,99
283,Departamento de Maldonado,UY,1653189229,10000,-54.9167,-34.6667,47.59,45.7,47.59,53.22,1021,89,4.54,306,0
284,Mahabalipuram,IN,1653189229,10000,80.1722,12.6264,87.85,91.17,87.85,88.05,1005,51,14.34,267,100
285,Mana,GF,1653189229,10000,-53.7767,5.6592,77.2,78.75,77.2,77.2,1017,88,9.6,79,100
286,Manama,BH,1653189230,10000,50.5832,26.2154,84.18,86.29,84.18,85.33,1003,54,19.57,320,0
287,Manaquiri,BR,1653189230,10000,-60.35,-3.3167,79.25,79.25,75.69,79.25,1016,93,3.13,13,82
288,Manga,BF,1653189230,10000,-1.0731,11.6636,79.12,79.12,79.12,79.12,1011,65,9.93,204,88
289,Maningrida,AU,1653189230,10000,134.2667,-12.0667,89.71,90.59,89.71,89.71,1010,41,8.93,98,45
290,Manthani,IN,1653189231,10000,79.6667,18.65,94.68,94.32,94.68,94.68,1002,31,15.75,300,2
291,Mar del Plata,AR,1653188950,100,-57.5575,-38.0023,48.94,48.07,39.22,48.94,1022,91,3.44,290,31
292,Maragogi,BR,1653189008,10000,-35.2225,-9.0122,76.78,78.12,76.78,76.78,1017,84,14.12,164,93
293,Marawi,PH,1653189231,10000,124.2928,7.9986,80.96,84.4,80.96,80.96,1009,69,1.99,306,81
294,Marechal Cândido Rondon,BR,1653189077,10000,-54.0567,-24.5561,51.66,50.47,51.66,51.66,1022,84,4.52,106,8
295,Martinez,US,1653189233,10000,-122.1341,38.0194,65.53,64.0,51.13,75.94,1013,47,8.05,250,0
296,Marzuq,YE,1653189233,10000,46.4667,14.4,75.74,74.14,75.74,75.74,1011,24,2.59,267,59
297,Masvingo,ZW,1653189233,10000,30.8277,-20.0637,58.57,58.5,58.57,58.57,1017,93,2.55,125,89
298,Mataura,NZ,1653189233,10000,168.8643,-46.1927,43.47,37.94,43.47,43.47,1005,88,9.98,248,100
299,Maubin,MM,1653189234,10000,95.65,16.7333,87.87,100.47,87.87,87.87,1003,72,11.72,271,100
300,Mazatlán,MX,1653189036,10000,-106.4167,23.2167,74.97,76.21,71.56,75.02,1012,86,1.99,291,0
301,Mbalmayo,CM,1653189234,10000,11.5,3.5167,68.41,69.6,68.41,68.41,1013,99,2.15,229,98
302,Mbandaka,CD,1653189234,10000,18.2603,0.0487,71.46,72.54,71.46,71.46,1012,90,1.88,269,100
303,Makkah al Mukarramah,SA,1653189234,10000,39.8261,21.4267,85.91,82.96,85.91,85.91,1007,23,1.88,344,1
304,Megion,RU,1653189235,10000,76.1136,61.0296,55.02,52.9,53.62,55.02,1003,57,20.78,105,100
305,Mehamn,NO,1653189235,10000,27.8492,71.0357,40.91,36.3,40.91,40.91,1013,96,6.89,127,100
306,Merauke,ID,1653189235,10000,140.3333,-8.4667,86.7,91.33,86.7,86.7,1008,57,9.95,164,87
307,Mersing,MY,1653189236,10000,103.8405,2.4312,87.84,95.72,87.84,87.84,1008,62,6.44,222,68
308,Meulaboh,ID,1653189236,10000,96.1285,4.1363,81.54,87.67,81.54,81.54,1010,80,0.63,247,94
309,Mezhdurechenskiy,RU,1653189236,10000,65.9333,59.6,48.42,43.99,48.42,48.42,989,93,10.22,122,100
310,Midleton,IE,1653189236,10000,-8.1805,51.9153,56.28,56.17,55.13,56.64,1013,97,10.74,219,100
311,Mizdah,LY,1653189237,10000,12.9801,31.4451,61.74,58.6,61.74,61.74,1018,21,2.26,177,0
312,Mmabatho,ZA,1653189237,10000,25.6333,-25.85,40.96,36.14,40.96,40.96,1021,78,7.27,139,7
313,Mogok,MM,1653189237,10000,96.5,22.9167,75.54,76.42,75.54,75.54,1003,77,2.82,265,8
314,Mookane,BW,1653189238,10000,26.6595,-23.688,47.34,47.34,47.34,47.34,1020,82,0.76,34,96
315,Moose Factory,CA,1653189238,10000,-80.6094,51.2585,35.42,35.42,35.42,35.42,1019,73,1.63,228,57
316,Moryakovskiy Zaton,RU,1653189238,10000,84.6467,56.6956,68.5,66.97,68.02,70.11,1005,41,6.11,121,23
317,Mount Gambier,AU,1653189238,10000,140.7667,-37.8333,62.06,60.37,62.06,62.06,1029,51,4.21,104,1
318,Mount Isa,AU,1653189232,10000,139.5,-20.7333,76.77,76.35,76.77,76.77,1016,47,9.22,120,40
319,Moyale,KE,1653189239,10000,39.0584,3.5167,64.81,65.46,64.81,64.81,1016,95,5.28,143,100
320,Muisne,EC,1653189239,10000,-80.0333,0.6,77.49,79.16,77.49,77.49,1014,90,4.38,225,78
321,Muravlenko,RU,1653189228,10000,74.523,63.7898,44.26,36.93,44.26,44.26,1007,63,16.35,98,100
322,Muriti,TZ,1653189239,10000,32.9167,-1.9833,73.27,73.45,73.27,73.27,1013,67,3.29,217,100
323,Muros,ES,1653188976,10000,-9.0603,42.7762,63.48,63.81,62.83,65.16,1012,91,3.06,171,96
324,Namatanai,PG,1653189240,10000,152.4333,-3.6667,85.05,89.98,85.05,85.05,1008,62,11.01,76,98
325,Mossamedes,AO,1653189240,10000,12.1522,-15.1961,67.37,66.63,67.37,67.37,1014,60,2.51,253,32
326,Namie,JP,1653189240,10000,141.0,37.4833,59.99,60.01,59.99,60.55,1003,92,11.07,1,100
327,Narsaq,GL,1653189241,10000,-46.05,60.9167,37.62,37.62,37.62,37.62,1016,80,2.1,160,100
328,Naryan-Mar,RU,1653189241,10000,53.087,67.6713,27.21,14.61,27.21,27.21,1018,76,17.54,48,97
329,Natá,PA,1653189241,10000,-80.5167,8.3333,78.46,80.04,78.46,78.46,1014,86,3.31,315,100
330,Naze,JP,1653189243,10000,129.4833,28.3667,70.86,71.08,70.86,70.86,1010,73,10.56,38,93
331,Neijiang,CN,1653189168,10000,105.0622,29.5835,65.68,65.84,65.68,65.68,1009,83,3.11,173,100
332,New Norfolk,AU,1653189243,10000,147.0587,-42.7826,51.13,48.52,49.5,55.92,1031,55,2.06,316,98
333,Nhulunbuy,AU,1653189243,10000,136.7667,-12.2333,88.41,95.11,88.41,88.41,1011,58,16.11,120,40
334,Nikolskoye,RU,1653189243,10000,30.7861,59.7035,42.21,38.7,41.81,42.69,1013,70,5.53,59,0
335,Nokaneng,BW,1653189244,10000,22.2667,-19.6667,42.78,42.78,42.78,42.78,1022,71,2.24,204,0
336,Norman Wells,CA,1653189244,10000,-126.8329,65.282,41.14,36.07,41.14,41.14,1026,82,7.83,302,100
337,Norsup,VU,1653189244,10000,167.3833,-16.0667,82.72,88.61,82.72,82.72,1009,73,1.03,220,36
338,North Battleford,CA,1653189245,10000,-108.2847,52.7834,51.4,48.6,51.4,51.4,1023,50,3.49,319,41
339,North Vernon,US,1653189245,10000,-85.6236,39.0062,65.86,66.42,64.76,67.39,1017,91,16.49,261,95
340,Northam,GB,1653189245,10000,-4.2167,51.0333,50.79,49.8,49.24,51.62,1017,90,7.52,184,86
341,Nouadhibou,MR,1653189245,10000,-17.0347,20.931,65.16,65.7,65.16,65.16,1013,92,20.58,351,56
342,Novaya Bryan’,RU,1653189246,10000,108.2691,51.7159,68.41,66.65,68.41,68.41,1009,36,10.69,288,47
343,Nové Město na Moravě,CZ,1653189246,10000,16.0742,49.5614,46.78,46.04,43.54,48.34,1019,77,3.0,346,36
344,Novikovo,RU,1653189246,4417,37.8879,51.1537,53.2,52.83,53.2,53.2,995,98,0.29,111,100
345,Novoagansk,RU,1653189247,10000,76.6625,61.9449,52.68,50.43,52.68,52.68,1005,59,13.47,113,85
346,Nuuk,GL,1653189247,2600,-51.7216,64.1835,41.61,29.79,41.61,41.61,999,87,35.68,160,75
347,Nyurba,RU,1653189247,10000,118.3319,63.2842,61.79,59.68,61.79,61.79,1005,43,4.79,78,87
348,Octeville,FR,1653189248,2200,-1.6435,49.6261,50.49,49.6,50.49,50.49,1018,93,4.61,40,91
349,Ofakim,IL,1653189248,10000,34.6203,31.3141,68.7,69.08,68.7,68.7,1013,81,8.52,272,97
350,Oistins,BB,1653189248,10000,-59.5333,13.0667,80.69,85.39,80.69,80.69,1018,78,20.71,90,40
351,Okato,NZ,1653189248,10000,173.8833,-39.2,58.32,58.55,54.68,59.92,1011,100,19.55,246,68
352,Øksfjord,NO,1653189249,10000,22.3479,70.2396,42.91,42.91,39.99,42.98,1012,80,1.59,125,94
353,Olafsvik,IS,1653189249,10000,-23.7142,64.8945,40.8,31.5,40.8,40.8,1008,84,20.18,43,59
354,Olinda,BR,1653189094,10000,-34.8553,-8.0089,76.73,78.53,76.73,76.73,1016,94,6.91,220,75
355,Omboué,GA,1653189249,10000,9.2618,-1.5746,74.46,75.79,74.46,74.46,1012,89,6.26,163,97
356,Opotiki,NZ,1653189250,10000,177.2833,-38.0833,65.39,64.69,65.39,65.39,1008,65,9.8,290,75
357,Otjimbingwe,NA,1653189250,10000,16.1333,-22.35,47.61,44.42,47.61,47.61,1021,51,6.78,75,1
358,Otradnoye,RU,1653189250,10000,30.8181,59.7775,41.97,38.5,41.97,42.85,1013,70,5.41,58,0
359,Ouadda,CF,1653189250,10000,22.4007,8.0777,68.36,69.13,68.36,68.36,1012,90,2.17,222,100
360,Paamiut,GL,1653189251,10000,-49.6678,61.994,40.17,27.77,40.17,40.17,1007,77,35.81,146,100
361,Pacific Grove,US,1653189092,10000,-121.9166,36.6177,53.17,52.0,50.5,59.81,1015,81,8.05,260,0
362,Pacifica,US,1653189251,10000,-122.4869,37.6138,54.72,53.55,50.77,64.72,1015,78,20.71,300,20
363,Padang,ID,1653189253,10000,100.3543,-0.9492,86.05,95.2,86.05,86.05,1010,70,3.09,266,74
364,Palencia,ES,1653189253,10000,-4.5,42.4167,61.32,60.91,61.11,64.8,1013,80,4.94,76,100
365,Palmerston,AU,1653189253,10000,130.9833,-12.486,88.47,89.4,86.88,89.89,1012,43,12.66,110,0
366,Palu,ID,1653189253,10000,119.8707,-0.8917,83.53,91.36,83.53,83.53,1011,76,1.7,343,94
367,Pampierstad,ZA,1653189254,10000,24.6877,-27.7832,47.23,43.79,47.23,47.23,1021,94,7.11,212,56
368,Panama City,PA,1653189052,10000,-79.5197,8.9936,79.81,79.81,77.79,81.28,1013,84,6.91,320,75
369,Pangkalanbuun,ID,1653189254,10000,111.6167,-2.6833,86.9,93.69,86.9,86.9,1009,62,3.4,74,62
370,Pangnirtung,CA,1653189254,10000,-65.7125,66.1451,30.02,21.81,30.02,30.02,983,82,9.01,55,100
371,Paraná,AR,1653189255,10000,-60.5238,-31.732,56.91,56.59,54.55,58.55,1021,91,4.7,52,40
372,Parintins,BR,1653189255,10000,-56.7358,-2.6283,71.83,73.24,71.83,71.83,1017,96,0.76,304,45
373,Paso de Carrasco,UY,1653189255,5000,-56.0522,-34.8603,50.14,48.96,50.14,50.14,1020,87,4.61,340,1
374,Patan,NP,1653189255,5000,85.3333,27.6667,61.18,61.41,61.18,61.18,1009,94,10.36,350,75
375,Pemangkat,ID,1653189256,10000,108.9667,1.1667,85.62,93.34,85.62,85.62,1009,68,5.55,209,52
376,Pendleton,US,1653189129,10000,-118.7886,45.6721,55.36,53.47,52.95,57.4,1020,61,18.41,360,0
377,Peniche,PT,1653189256,10000,-9.3811,39.3558,61.93,62.35,61.45,62.29,1012,96,15.88,231,100
378,Pervomayskoye,RU,1653189256,10000,46.7102,43.919,59.99,58.55,59.99,59.99,1010,61,3.24,242,1
379,Petropavlovsk-Kamchatskiy,RU,1653189257,10000,158.6483,53.0452,45.19,41.54,44.78,45.19,1022,81,6.71,160,75
380,Pevek,RU,1653189257,7937,170.3133,69.7008,36.19,31.64,36.19,36.19,1019,94,5.46,123,83
381,Pisco,PE,1653189257,4000,-76.2167,-13.7,60.85,60.78,60.85,62.02,1017,88,2.3,0,75
382,Pochutla,MX,1653189258,10000,-96.4661,15.7432,79.83,79.83,79.83,79.83,1013,73,5.46,271,96
383,Ponta do Sol,PT,1653189258,10000,-17.1,32.6667,64.35,64.24,63.12,66.83,1022,80,3.29,1,92
384,Port Alfred,ZA,1653189258,10000,26.891,-33.5906,57.22,56.41,57.22,57.22,1024,80,5.84,303,4
385,Port Elizabeth,ZA,1653189259,10000,25.5701,-33.918,50.09,48.74,50.09,50.09,1024,84,4.41,299,0
386,Port Hardy,CA,1653189077,10000,-127.4199,50.6996,54.34,52.86,54.34,54.34,1023,72,9.75,309,5
387,Port Lincoln,AU,1653189077,10000,135.8667,-34.7333,64.27,63.27,64.27,64.27,1024,61,12.73,45,74
388,Port Macquarie,AU,1653189012,2000,152.9167,-31.4333,58.89,59.18,58.89,60.89,1024,100,6.91,270,75
389,Port Said,EG,1653189259,10000,32.2841,31.2565,66.38,66.11,66.38,66.38,1012,72,16.24,261,0
390,Portland,US,1653189210,10000,-122.6762,45.5234,64.17,62.64,60.93,66.9,1020,50,8.05,330,20
391,Poso,ID,1653189259,10000,120.7524,-1.3959,86.29,90.57,86.29,86.29,1010,57,2.91,22,74
392,Poum,NC,1653189260,10000,164.0167,-20.2333,78.26,79.59,78.26,78.26,1010,81,16.55,53,9
393,Praia da Vitória,PT,1653189260,10000,-27.0667,38.7333,63.75,64.47,63.75,63.75,1023,99,5.97,337,90
394,Prainha,BR,1653189260,8504,-53.48,-1.8,72.32,73.85,72.32,72.32,1017,98,1.81,109,99
395,Praia,CV,1653189261,10000,-23.5087,14.9215,70.34,70.74,70.34,70.34,1016,78,9.22,20,20
396,Price,US,1653188982,10000,-110.8107,39.5994,52.86,48.56,51.12,52.86,1019,15,6.91,40,20
397,Pringsewu,ID,1653189261,10000,104.9744,-5.3582,84.07,91.63,84.07,84.07,1010,73,4.18,192,81
398,Pristina,XK,1653189263,10000,21.1669,42.6727,58.37,57.76,54.25,58.37,1015,82,0.0,0,0
399,Provideniya,RU,1653189263,10000,-173.3,64.3833,50.68,47.8,50.68,50.68,1018,50,9.44,62,99
400,Puerto Ayora,EC,1653189263,10000,-90.3518,-0.7393,71.44,72.41,71.44,71.44,1015,88,6.6,123,74
401,Puerto Escondido,MX,1653189263,10000,-97.0667,15.85,81.43,86.99,81.43,81.43,1014,78,5.75,300,0
402,Puerto Nariño,CO,1653189264,10000,-70.3831,-3.7703,72.72,74.1,72.72,72.72,1016,94,2.42,22,95
403,Punta Arenas,CL,1653189133,10000,-70.9167,-53.15,37.51,33.87,37.11,37.51,991,75,4.61,10,75
404,Qaanaaq,GL,1653189264,10000,-69.3632,77.484,12.74,4.33,12.74,12.74,1007,89,5.1,26,99
405,Qaqortoq,GL,1653189264,10000,-46.0333,60.7167,38.08,33.19,38.08,38.08,1016,83,6.42,119,100
406,Qasigiannguit,GL,1653189221,10000,-51.1922,68.8193,35.85,30.18,35.85,35.85,1002,82,6.93,96,100
407,Ranong,TH,1653189265,10000,98.6348,9.9658,82.81,91.76,82.81,82.81,1007,83,16.67,240,100
408,Raudeberg,NO,1653189265,10000,5.1352,61.9875,48.87,43.05,47.95,48.87,1012,87,15.61,193,100
409,Rawicz,PL,1653189265,10000,16.8585,51.6095,49.75,46.04,47.95,50.14,1019,96,9.08,274,11
410,Rawson,AR,1653189265,10000,-65.1023,-43.3002,58.95,56.66,58.95,58.95,1007,45,20.74,325,93
411,Reconquista,AR,1653189266,10000,-59.65,-29.15,54.3,53.42,54.3,54.3,1021,85,5.3,55,100
412,Redcar,GB,1653189039,10000,-1.06,54.6166,51.58,48.13,51.3,52.36,1014,36,8.97,184,97
413,Remanso,BR,1653189266,10000,-42.0831,-9.6179,73.47,73.72,73.47,73.47,1018,68,9.42,103,19
414,Ribeira Grande,PT,1653189266,10000,-28.7,38.5167,64.06,64.58,64.06,64.06,1023,94,0.94,240,100
415,Richards Bay,ZA,1653189215,10000,32.0377,-28.783,62.26,62.08,62.26,62.26,1018,83,20.92,231,100
416,Rikitea,PF,1653189267,10000,-134.9692,-23.1203,75.76,76.55,75.76,75.76,1017,75,13.06,103,3
417,Río Gallegos,AR,1653189091,10000,-69.2181,-51.6226,37.45,28.22,37.45,37.45,993,81,16.11,340,0
418,Rio Grande,BR,1653189267,10000,-52.0986,-32.035,46.94,43.7,46.94,46.94,1022,79,6.6,279,100
419,Roald,NO,1653189267,10000,6.1333,62.5833,50.63,49.48,47.32,53.76,1011,87,6.91,160,100
420,Robertsport,LR,1653189267,4178,-11.3686,6.7533,77.49,79.07,77.49,77.49,1013,88,11.3,327,100
421,Rocha,UY,1653189268,10000,-54.3333,-34.4833,48.85,47.05,48.85,48.85,1021,89,4.7,287,1
422,Rome,US,1653189150,10000,-75.4557,43.2128,72.14,72.54,68.58,73.96,1016,74,4.61,280,40
423,Rundu,NA,1653189268,10000,19.7667,-17.9333,40.51,36.36,40.51,40.51,1023,38,6.02,134,0
424,Ryazanovskiy,RU,1653189268,10000,39.4333,55.55,38.28,32.11,38.28,38.28,1005,69,8.75,47,63
425,Saint Anthony,US,1653189268,10000,-93.218,45.0205,47.77,42.42,43.14,51.69,1022,52,12.66,340,75
426,Saint George,US,1653189161,10000,-113.5841,37.1041,75.79,73.49,75.79,75.79,1013,9,11.5,250,0
427,Saint-Philippe,RE,1653189269,10000,55.7679,-21.3585,67.59,67.71,64.11,67.59,1021,78,6.87,82,26
428,Saint-Pierre,RE,1653189269,10000,55.4781,-21.3393,67.3,66.92,64.18,67.68,1018,68,5.75,90,0
429,Saldanha,ZA,1653189269,10000,17.9442,-33.0117,56.19,55.31,56.19,56.19,1025,81,3.78,119,32
430,Samarai,PG,1653189270,10000,150.6667,-10.6167,82.9,89.56,82.9,82.9,1009,75,9.33,96,93
431,San Ignacio,BZ,1653189270,10000,-89.0714,17.1561,86.14,95.41,86.14,86.14,1012,70,6.91,60,0
432,San Jerónimo,PE,1653189270,10000,-75.2829,-11.9472,51.26,49.89,51.26,51.26,1022,81,0.98,319,100
433,San Patricio,US,1653189271,10000,-97.5169,28.017,81.86,91.62,80.44,83.12,1010,92,15.79,139,6
434,San Quintín,MX,1653189271,10000,-115.95,30.4833,60.48,59.61,60.48,60.48,1016,72,5.53,297,69
435,San Rafael,AR,1653189058,10000,-68.3301,-34.6177,53.62,50.04,53.62,53.62,1017,29,8.16,313,100
436,Santa Rosa,PH,1653189271,10000,121.1114,14.3122,87.21,99.81,86.02,89.1,1008,74,1.07,321,93
437,Santo Antônio do Içá,BR,1653189273,10000,-67.9397,-3.1022,71.91,73.45,71.91,71.91,1017,99,1.57,19,98
438,São Filipe,CV,1653189273,10000,-24.4956,14.8961,71.37,72.01,71.37,71.37,1016,81,5.28,41,48
439,São João da Barra,BR,1653189002,10000,-41.0511,-21.6403,65.07,65.17,65.07,65.07,1024,83,4.76,245,15
440,São José da Coroa Grande,BR,1653189273,10000,-35.1478,-8.8978,77.04,78.39,77.04,77.04,1017,84,13.56,165,94
441,Sarny,UA,1653189273,10000,26.6019,51.338,49.95,44.82,49.95,49.95,1006,82,14.0,286,82
442,Saskylakh,RU,1653189274,29,114.0833,71.9167,34.84,30.43,34.84,34.84,1008,100,4.99,172,100
443,Sauda,NO,1653189274,10000,6.3542,59.6506,51.67,51.06,51.67,51.67,1014,96,1.34,212,100
444,Scarborough,GB,1653189274,10000,-0.4044,54.2797,50.67,49.33,49.93,51.91,1014,83,1.99,191,93
445,Seoul,KR,1653189104,10000,126.9778,37.5683,74.59,73.87,67.44,74.59,1007,45,10.78,235,4
446,Sept-Îles,CA,1653189275,402,-66.3821,50.2001,46.06,46.06,46.06,46.92,1012,97,2.3,290,100
447,Sertã,PT,1653189275,10000,-8.0988,39.8085,58.95,58.86,58.95,59.43,1014,92,5.19,158,100
448,Severo-Kuril'sk,RU,1653189275,7071,156.125,50.6789,46.33,41.59,46.33,46.33,1020,88,9.71,127,76
449,Severodvinsk,RU,1653189275,10000,39.8302,64.5635,30.31,21.11,30.11,30.31,1017,68,11.03,33,51
450,Sfântu Gheorghe,RO,1653189276,10000,25.7833,45.8667,58.82,58.91,55.27,58.82,1012,96,4.83,263,83
451,Shache,CN,1653189276,10000,77.2406,38.4167,73.71,72.05,73.71,73.71,1003,27,9.08,308,100
452,Shahr-e Kord,IR,1653189276,10000,50.8644,32.3256,60.01,56.61,60.01,60.01,1015,19,2.46,30,45
453,Shelburne,CA,1653189276,10000,-80.2041,44.0787,54.72,54.27,53.29,55.36,1016,93,2.91,39,89
454,Shimoda,JP,1653189278,10000,138.95,34.6667,66.27,66.07,66.27,66.27,1005,74,8.5,52,40
455,Chu,KZ,1653189278,10000,73.7614,43.5983,60.78,59.7,60.78,60.78,1013,67,11.68,282,100
456,Shuangyang,CN,1653189278,10000,125.6736,43.5242,73.74,72.18,73.74,73.74,1008,29,8.79,32,82
457,Sibolga,ID,1653189279,10000,98.7792,1.7427,84.69,91.63,84.69,84.69,1010,69,2.55,229,83
458,Sigli,ID,1653189279,10000,95.9609,5.3848,86.95,93.38,86.95,86.95,1008,61,0.63,328,53
459,Sinnamary,GF,1653189279,10000,-52.95,5.3833,77.16,78.76,77.16,77.16,1017,89,10.94,79,100
460,Sioux Lookout,CA,1653189279,10000,-91.917,50.1001,32.34,28.74,32.34,32.34,1021,92,3.76,304,98
461,Sisimiut,GL,1653189280,10000,-53.6735,66.9395,40.78,35.47,40.78,40.78,998,67,8.14,80,100
462,Sitka,US,1653189280,10000,-135.33,57.0531,57.09,55.22,57.09,57.09,1022,58,0.0,0,0
463,Kneževo,BA,1653189280,10000,17.3775,44.4908,53.44,53.04,53.44,53.44,1017,97,1.99,67,100
464,Skibbereen,IE,1653189280,10000,-9.2667,51.55,54.1,53.67,54.1,54.1,1013,95,11.34,230,100
465,Skjervøy,NO,1653189281,10000,20.9714,70.0311,42.8,41.54,42.8,42.8,1012,82,3.0,121,89
466,Skuodas,LT,1653189281,10000,21.5333,56.2667,49.78,46.38,49.78,49.86,1006,97,8.3,38,100
467,Slave Lake,CA,1653189150,10000,-114.769,55.2834,45.39,45.39,45.39,45.39,1021,46,2.19,232,56
468,Sobolevo,RU,1653189283,10000,31.8996,54.4299,45.77,39.34,45.77,45.77,1000,93,14.56,58,100
469,Sokoni,TZ,1653189283,10000,39.55,-6.4333,79.3,79.3,79.3,79.3,1014,78,11.52,160,100
470,Sørland,NO,1653189283,10000,12.6934,67.667,44.46,41.86,44.46,44.46,1011,91,4.79,144,100
471,Sovetskiy,RU,1653189283,10000,63.5842,61.3614,39.81,32.47,39.81,39.81,993,92,12.39,69,100
